file,path,characters,words_approx,tokens,exceeds_2048,exceeds_safe_limit
page_0121.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0121.md,1742,248,513,False,False
page_0122.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0122.md,948,137,309,False,False
page_0123.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0123.md,4132,603,1131,False,False
page_0124.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0124.md,3053,422,940,False,False
page_0125.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0125.md,3666,505,946,False,False
page_0126.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0126.md,3568,508,898,False,False
page_0127.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0127.md,4631,675,1242,False,False
page_0128.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0128.md,3712,549,954,False,False
page_0129.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0129.md,3272,463,919,False,False
page_0130.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0130.md,3234,468,838,False,False
page_0131.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0131.md,3071,430,845,False,False
page_0132.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0132.md,2941,434,846,False,False
page_0133.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0133.md,1770,247,465,False,False
page_0134.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0134.md,3515,512,973,False,False
page_0135.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0135.md,3646,578,1028,False,False
page_0136.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0136.md,3446,542,989,False,False
page_0137.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0137.md,2111,314,570,False,False
page_0138.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0138.md,2195,333,593,False,False
page_0139.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0139.md,1562,235,424,False,False
page_0140.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0140.md,3615,557,985,False,False
page_0141.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0141.md,2224,335,633,False,False
page_0142.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0142.md,3408,486,1022,False,False
page_0143.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0143.md,3432,526,1006,False,False
page_0144.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0144.md,3885,601,1088,False,False
page_0145.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0145.md,3137,446,861,False,False
page_0146.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0146.md,3212,476,970,False,False
page_0147.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0147.md,1682,240,463,False,False
page_0148.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0148.md,2977,438,826,False,False
page_0149.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0149.md,3344,473,952,False,False
page_0150.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0150.md,2118,330,743,False,False
page_0151.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0151.md,2105,329,608,False,False
page_0152.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0152.md,3552,565,1018,False,False
page_0153.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0153.md,3375,529,969,False,False
page_0154.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0154.md,3447,509,871,False,False
page_0155.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0155.md,2943,465,801,False,False
page_0156.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0156.md,4003,600,1129,False,False
page_0157.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0157.md,3548,555,1003,False,False
page_0158.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0158.md,2232,371,614,False,False
page_0159.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0159.md,3574,623,1250,False,False
page_0160.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0160.md,1369,202,418,False,False
page_0161.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0161.md,196,30,59,False,False
page_0162.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0162.md,690,106,189,False,False
page_0163.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0163.md,922,128,239,False,False
page_0164.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0164.md,3939,625,1084,False,False
page_0165.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0165.md,3113,492,846,False,False
page_0166.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0166.md,3660,567,1016,False,False
